id,condition,CS
5297751,clear,1.4236586497942072
5297751,blur,1.2716462179787715
5344588,clear,1.8181564120552274
5344588,blur,1.619788758288394
5371387,clear,1.4236586497942072
5371387,blur,1.600326278518962
5372697,clear,1.4672456210075022
5372697,blur,1.4485500020271247
5384559,clear,1.8181564120552274
5384559,blur,1.8356471442155629
5387392,clear,1.8210230527068305
5387392,blur,1.6882461389442458
5389013,clear,1.8041003475907662
5389013,blur,1.8210230527068305
5410148,clear,1.391473966422806
5410148,blur,1.0700704399154122
5410422,clear,1.8041003475907662
5410422,blur,1.619788758288394
5418541,clear,1.899629454882437
5418541,blur,1.8013429130455774
5496748,clear,1.4145392704914994
5496748,blur,1.4365189146055894
5499000,clear,1.6234230429434882
5499000,blur,1.489454989793388
5499152,clear,1.5100415205751654
5499152,blur,1.4461169733561257
5499730,clear,1.6615435063953952
5499730,blur,1.4509967379742121
5501417,clear,1.4377071355435254
5501417,blur,1.4365189146055894
5502940,clear,1.3458234581220396
5502940,blur,1.279840696594043
5504684,clear,1.5100415205751654
5504684,blur,1.453457336521869
5505997,clear,1.4596705252091264
5505997,blur,1.454692883534176
5511369,clear,1.4685210829577449
5511369,blur,1.4236586497942072
5511959,clear,1.4921441283041692
5511959,blur,1.462180904926726
5512597,clear,1.5199930570428495
5512597,blur,1.0570004066339593
5549866,clear,1.7670038896078462
5549866,blur,1.8210230527068305
5550506,clear,1.563837352959244
5550506,blur,1.4485500020271247
5558701,clear,1.8041003475907662
5558701,blur,1.7328282715969863
5578336,clear,2
5578336,blur,1.8860566476931633
5585374,clear,1.3746875490383261
5585374,blur,1.4100503986742923
5585959,clear,1.4685210829577449
5585959,blur,1.4485500020271247
5599806,clear,1.4213607900319276
5599806,blur,1.279014255846261
5610774,clear,1.4236586497942072
5610774,blur,1.442492798094342
5623534,clear,2
5623534,blur,1.9913998282380825
5624292,clear,1.6497519816658373
5624292,blur,1.5451551399914898
5631005,clear,1.7328282715969863
5631005,blur,1.6382721639824072
5635923,clear,2
5635923,blur,1.8181564120552274
5636687,clear,1.9913998282380825
5636687,blur,1.826813731587726
5647580,clear,1.8961962790440432
5647580,blur,1.9136401693252518
5647903,clear,2
5647903,blur,1.723538195826756
5658031,clear,1.7328282715969863
5658031,blur,1.6777807052660807
5668370,clear,1.8239087409443187
5668370,blur,1.8632794328435933
5669715,clear,1.645891560852599
5669715,blur,1.7520267336381934
5670717,clear,1.9030899869919435
5670717,blur,1.785156151952302
5688378,clear,1.739928612014925
5688378,blur,1.571865205971211
5693459,clear,1.899629454882437
5693459,blur,1.889410289700751
5693659,clear,2
5693659,blur,1.8041003475907662
5704264,clear,1.9665762445130504
5704264,blur,1.6179829574251317
5765743,clear,2
5765743,blur,1.8239087409443187
5770699,clear,1.6716203965612624
5770699,blur,1.5030703519267852
5781722,clear,1.8013429130455774
5781722,blur,1.6073030467403342
5789390,clear,2
5789390,blur,2
5791526,clear,1.6946486305533761
5791526,blur,1.669586226650809
5792031,clear,1.8041003475907662
5792031,blur,1.785156151952302
5792635,clear,1.576754126063192
5792635,blur,1.454692883534176
5793287,clear,1.9665762445130504
5793287,blur,1.6925039620867872
