"","x"
"1",5793287
"2",5647903
"3",5635923
"4",5511959
"5",5505997
"6",5418541
"7",5410422
"8",5387392
"9",5389013
"10",5384559
"11",5501417
"12",5504684
"13",5781722
"14",5792635
"15",5647580
"16",5599806
"17",5297751
"18",5371387
"19",5789390
"20",5670717
"21",5669715
"22",5585959
"23",5585374
"24",5578336
"25",5558701
"26",5511369
"27",5499152
"28",5496748
"29",5372697
"30",5344588
"31",5410148
"32",5623534
"33",5631005
"34",5636687
"35",5765743
"36",5770699
"37",5499730
"38",5502940
"39",5512597
"40",5658031
"41",5668370
"42",5688378
"43",5791526
"44",5792031
"45",5693459
"46",5624292
"47",5704264
"48",5499000
"49",5549866
"50",5550506
"51",5610774
"52",5693659
